key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2015-01-01 00:00:00.0000001,3.508282251225248,2015-01-01 12:00:00 UTC,-73.96063644797226,40.737454011884736,-73.96715596951249,40.72257539484983,1
2015-01-01 00:01:00.0000001,3.236948883805688,2015-01-01 12:00:00 UTC,-73.9526564340625,40.79507143064099,-73.95365671265192,40.783819569623674,2
2015-01-01 00:02:00.0000001,2.9985727716923423,2015-01-01 12:00:00 UTC,-73.91454526067979,40.77319939418114,-73.89974342991097,40.77708758328378,2
2015-01-01 00:03:00.0000001,2.8901299982742485,2015-01-01 12:00:00 UTC,-73.96599956139401,40.7598658484197,-73.96091192808352,40.74812711515664,5
2015-01-01 00:04:00.0000001,4.906473862093834,2015-01-01 12:00:00 UTC,-73.91303503151879,40.715601864044245,-73.92931757199594,40.72672820709628,4
2015-01-01 00:05:00.0000001,4.402554268977998,2015-01-01 12:00:00 UTC,-73.99118655690233,40.71559945203362,-74.00888165926585,40.714888249125316,5
2015-01-01 00:06:00.0000001,3.09864857995012,2015-01-01 12:00:00 UTC,-73.92232015627914,40.705808361216825,-73.92296326078034,40.70666430825627,4
2015-01-01 00:07:00.0000001,3.9582938229722933,2015-01-01 12:00:00 UTC,-73.91524523669453,40.786617614577494,-73.92737264284328,40.78383388490141,1
2015-01-01 00:08:00.0000001,4.213252207660263,2015-01-01 12:00:00 UTC,-73.98181823471627,40.76011150117432,-73.97533276723995,40.76783997955976,1
2015-01-01 00:09:00.0000001,4.1625134157777595,2015-01-01 12:00:00 UTC,-73.95696534676279,40.7708072577796,-73.95654271611313,40.77863885665737,3
2015-01-01 00:10:00.0000001,2.5,2015-01-01 12:00:00 UTC,-73.98345002253363,40.702058449429586,-73.9817961748434,40.705408992948705,4
2015-01-01 00:11:00.0000001,2.5503851373179343,2015-01-01 12:00:00 UTC,-73.92933958710059,40.7969909852162,-73.93640701891701,40.802638876275275,4
2015-01-01 00:12:00.0000001,4.022875752779854,2015-01-01 12:00:00 UTC,-73.94646522319384,40.78324426408004,-73.92905138664098,40.781123367380836,2
2015-01-01 00:13:00.0000001,5.371164765174972,2015-01-01 12:00:00 UTC,-73.93646766532918,40.72123391106783,-73.90804172804907,40.72665594113692,2
2015-01-01 00:14:00.0000001,2.5,2015-01-01 12:00:00 UTC,-73.98035130330437,40.718182496720715,-73.98313715054194,40.714803718965975,5
2015-01-01 00:15:00.0000001,3.7650699725678654,2015-01-01 12:00:00 UTC,-73.97882541379477,40.718340450985345,-73.97529502131061,40.71836276720697,3
2015-01-01 00:16:00.0000001,4.7713575785015765,2015-01-01 12:00:00 UTC,-73.99585026744901,40.73042422429595,-73.99487609401837,40.72767778680229,1
2015-01-01 00:17:00.0000001,3.2119813730068736,2015-01-01 12:00:00 UTC,-73.96779324648043,40.75247564316322,-73.97039011511484,40.74790345777003,4
2015-01-01 00:18:00.0000001,3.6647188980548964,2015-01-01 12:00:00 UTC,-73.94402553386664,40.74319450186421,-73.95234623854397,40.73630338388699,5
2015-01-01 00:19:00.0000001,4.53093395997466,2015-01-01 12:00:00 UTC,-73.91420650860027,40.729122914019804,-73.92505618847508,40.73379981505839,3
2015-01-01 00:20:00.0000001,2.5,2015-01-01 12:00:00 UTC,-73.93330725525414,40.76118528947224,-73.94466322790939,40.77429134860037,2
2015-01-01 00:21:00.0000001,3.767702294716137,2015-01-01 12:00:00 UTC,-73.95646036766003,40.71394938606521,-73.95240796740454,40.7256604057819,3
2015-01-01 00:22:00.0000001,4.838821840543331,2015-01-01 12:00:00 UTC,-73.9046879885606,40.72921446485352,-73.90988473334264,40.71664881149407,5
2015-01-01 00:23:00.0000001,4.739490366718792,2015-01-01 12:00:00 UTC,-73.92807547994242,40.73663618432937,-73.95385840844382,40.74952821484344,1
2015-01-01 00:24:00.0000001,2.5,2015-01-01 12:00:00 UTC,-73.90698347971374,40.74560699842171,-73.90253489750776,40.74242541340553,2
2015-01-01 00:25:00.0000001,2.916144621415723,2015-01-01 12:00:00 UTC,-73.94724120267279,40.7785175961393,-73.94762381549742,40.78452492629076,2
2015-01-01 00:26:00.0000001,4.062507223490869,2015-01-01 12:00:00 UTC,-73.97410957252069,40.719967378215834,-73.96064284250667,40.71090522489536,1
2015-01-01 00:27:00.0000001,2.5,2015-01-01 12:00:00 UTC,-73.99471733136353,40.75142344384136,-73.99098610739262,40.7528432429801,2
2015-01-01 00:28:00.0000001,6.107749129902288,2015-01-01 12:00:00 UTC,-73.92739151485162,40.7592414568862,-73.94217825081472,40.76237868871517,5
2015-01-01 00:29:00.0000001,4.700017734086466,2015-01-01 12:00:00 UTC,-73.98786970019945,40.704645041272,-74.01016646660675,40.6897989933528,2
2015-01-01 00:30:00.0000001,2.5,2015-01-01 12:00:00 UTC,-73.9697224871728,40.76075448519014,-73.97691721101619,40.76683715685358,4
